"","target","BlkType","response","rt","sub","error"
"192","Present","1:3",3,0.607138229397606,"aleg",FALSE
"193","Absent","1:3",1,0.383138097406118,"aleg",FALSE
"194","Absent","1:3",1,0.42294744204446,"aleg",FALSE
"195","Absent","1:3",1,0.43656653857397,"aleg",FALSE
"196","Absent","1:3",1,0.367028582348212,"aleg",FALSE
"197","Absent","1:3",1,0.412087903179781,"aleg",FALSE
"198","Absent","1:3",1,0.366800366316966,"aleg",FALSE
"199","Absent","1:3",1,0.364185889060536,"aleg",FALSE
"200","Absent","1:3",1,0.284043285575535,"aleg",FALSE
"201","Absent","1:3",1,0.894413007810726,"aleg",FALSE
"202","Absent","1:3",1,0.414444222045859,"aleg",FALSE
"203","Absent","1:3",1,0.361086642578812,"aleg",FALSE
"204","Present","1:3",3,0.507677515559408,"aleg",FALSE
"205","Absent","1:3",1,0.379738472494864,"aleg",FALSE
"206","Present","1:3",1,0.337083829414041,"aleg",TRUE
"207","Absent","1:3",1,0.315718691783331,"aleg",FALSE
"208","Absent","1:3",1,0.406208411928674,"aleg",FALSE
"209","Absent","1:3",1,0.475526832211472,"aleg",FALSE
"210","Absent","1:3",1,0.480844719100787,"aleg",FALSE
"211","Absent","1:3",1,0.371636562800632,"aleg",FALSE
"212","Absent","1:3",1,0.33683745624694,"aleg",FALSE
"213","Present","1:3",3,0.406097510545806,"aleg",FALSE
"214","Absent","1:3",1,0.384712366232634,"aleg",FALSE
"215","Absent","1:3",1,0.448774908316409,"aleg",FALSE
"216","Absent","1:3",1,0.331252121881334,"aleg",FALSE
"217","Absent","1:3",1,0.373792153210161,"aleg",FALSE
"218","Absent","1:3",1,0.482915403283187,"aleg",FALSE
"219","Absent","1:3",1,0.298916709409241,"aleg",FALSE
"220","Present","1:3",3,0.453540363394495,"aleg",FALSE
"221","Absent","1:3",1,0.597525623406909,"aleg",FALSE
"222","Absent","1:3",1,0.456278376843329,"aleg",FALSE
"223","Present","1:3",3,0.605541047993029,"aleg",FALSE
"224","Absent","1:3",1,0.490855500187536,"aleg",FALSE
"225","Absent","1:3",1,0.471989487490646,"aleg",FALSE
"226","Present","1:3",3,0.541314448852063,"aleg",FALSE
"227","Absent","1:3",1,0.53888208429089,"aleg",FALSE
"228","Present","1:3",3,0.482691329936642,"aleg",FALSE
"229","Absent","1:3",1,0.46149092226733,"aleg",FALSE
"230","Present","1:3",3,0.474552196232253,"aleg",FALSE
"231","Absent","1:3",1,0.482436562382645,"aleg",FALSE
"232","Present","1:3",3,0.43969464851034,"aleg",FALSE
"233","Absent","1:3",1,0.49059327429859,"aleg",FALSE
"234","Present","1:3",3,0.412929345473458,"aleg",FALSE
"235","Absent","1:3",1,0.36230932458966,"aleg",FALSE
"236","Present","1:3",3,0.458416580760968,"aleg",FALSE
"237","Present","1:3",3,0.55690478635006,"aleg",FALSE
"238","Absent","1:3",1,0.538035991812649,"aleg",FALSE
"239","Absent","1:3",1,0.41533542542129,"aleg",FALSE
"240","Absent","1:3",1,0.407397335950009,"aleg",FALSE
"241","Absent","1:3",1,0.761890227642652,"aleg",FALSE
"242","Absent","1:3",1,0.735118255712223,"aleg",FALSE
"243","Absent","1:3",1,0.473556463388377,"aleg",FALSE
"244","Present","1:3",1,0.409699600684689,"aleg",TRUE
"245","Absent","1:3",1,0.567208577753263,"aleg",FALSE
"246","Absent","1:3",1,0.404494690281354,"aleg",FALSE
"247","Absent","1:3",1,0.48428607911228,"aleg",FALSE
"248","Absent","1:3",1,0.364294143937514,"aleg",FALSE
"249","Absent","1:3",1,0.406661964412706,"aleg",FALSE
"250","Absent","1:3",1,0.417365351906483,"aleg",FALSE
"251","Present","1:3",3,0.43600638152202,"aleg",FALSE
"252","Absent","1:3",1,0.713430018797226,"aleg",FALSE
"253","Present","1:3",3,0.451962594712313,"aleg",FALSE
"254","Absent","1:3",1,0.577291239294937,"aleg",FALSE
"255","Absent","1:3",1,0.638669513804416,"aleg",FALSE
"256","Present","1:3",3,0.438668792865428,"aleg",FALSE
"257","Absent","1:3",1,0.427708408587932,"aleg",FALSE
"258","Present","1:3",3,0.478534371997739,"aleg",FALSE
"259","Absent","1:3",1,0.470420590618232,"aleg",FALSE
"260","Absent","1:3",1,0.38493843573815,"aleg",FALSE
"261","Absent","1:3",1,0.342312674909408,"aleg",FALSE
"262","Absent","1:3",1,0.34755959859649,"aleg",FALSE
"263","Present","1:3",3,0.430381958565704,"aleg",FALSE
"264","Absent","1:3",1,0.470175935422958,"aleg",FALSE
"265","Absent","1:3",1,0.384840582682955,"aleg",FALSE
"266","Present","1:3",3,0.411216620022969,"aleg",FALSE
"267","Absent","1:3",1,0.456565575374043,"aleg",FALSE
"268","Absent","1:3",1,0.480540964872489,"aleg",FALSE
"269","Absent","1:3",1,0.459051479052505,"aleg",FALSE
"270","Absent","1:3",1,0.440484258386277,"aleg",FALSE
"271","Absent","1:3",1,0.477687632930611,"aleg",FALSE
"272","Absent","1:3",1,0.536536618354148,"aleg",FALSE
"273","Absent","1:3",1,0.397723033291186,"aleg",FALSE
"274","Absent","1:3",1,0.341643278057745,"aleg",FALSE
"275","Absent","1:3",1,0.36286950795693,"aleg",FALSE
"276","Absent","1:3",1,0.4135450152462,"aleg",FALSE
"277","Absent","1:3",1,0.493517114573478,"aleg",FALSE
"278","Present","1:3",3,0.62423212063004,"aleg",FALSE
"279","Absent","1:3",1,0.693568374756069,"aleg",FALSE
"280","Absent","1:3",1,0.405382953929802,"aleg",FALSE
"281","Absent","1:3",1,0.437192268074796,"aleg",FALSE
"282","Absent","1:3",1,0.364812735057058,"aleg",FALSE
"283","Absent","1:3",1,0.402482924688229,"aleg",FALSE
"284","Absent","1:3",1,0.362312771814686,"aleg",FALSE
"285","Present","1:3",1,0.463845346475864,"aleg",TRUE
"286","Absent","1:3",1,0.428859871768509,"aleg",FALSE
"287","Absent","1:3",1,0.420846965875171,"aleg",FALSE
"288","Absent","1:3",1,0.333023833591142,"aleg",FALSE
"289","Absent","1:3",1,0.332885673948113,"aleg",FALSE
"290","Absent","1:3",1,0.490052650264261,"aleg",FALSE
"291","Absent","1:3",1,0.577980541331272,"aleg",FALSE
"292","Present","1:3",3,0.385785077063701,"aleg",FALSE
"293","Absent","1:3",1,0.530105702770015,"aleg",FALSE
"294","Absent","1:3",1,0.375288650850052,"aleg",FALSE
"295","Absent","1:3",1,0.388537213984819,"aleg",FALSE
"296","Present","1:3",3,0.409921459839097,"aleg",FALSE
"297","Present","1:3",3,0.412576679753329,"aleg",FALSE
"298","Present","1:3",3,0.479079728916986,"aleg",FALSE
"299","Absent","1:3",1,0.449766735308003,"aleg",FALSE
"300","Absent","1:3",1,0.380174800133318,"aleg",FALSE
"301","Absent","1:3",1,0.412417385656227,"aleg",FALSE
"302","Absent","1:3",1,0.590935733262086,"aleg",FALSE
"303","Absent","1:3",1,0.334809247733574,"aleg",FALSE
"304","Absent","1:3",1,0.449369533853314,"aleg",FALSE
"305","Present","1:3",3,0.449557232781444,"aleg",FALSE
"306","Absent","1:3",1,0.502701159517528,"aleg",FALSE
"307","Absent","1:3",1,0.454648512593849,"aleg",FALSE
"308","Absent","1:3",1,0.425077822981621,"aleg",FALSE
"309","Present","1:3",3,0.41189187377131,"aleg",FALSE
"310","Absent","1:3",1,0.406565363186019,"aleg",FALSE
"311","Absent","1:3",1,0.414269586482988,"aleg",FALSE
"312","Absent","1:3",1,0.451890608997928,"aleg",FALSE
"313","Present","1:3",3,0.475581100621639,"aleg",FALSE
"314","Absent","1:3",1,0.547460842488363,"aleg",FALSE
"315","Absent","1:3",1,0.424871508292199,"aleg",FALSE
"316","Present","1:3",3,0.491584631385194,"aleg",FALSE
"317","Present","1:3",3,0.536751880037627,"aleg",FALSE
